movie_name,ranking,score,quote,score_num
甜蜜蜜,87,8.7,相逢只要一瞬间，等待却像是一辈子。,229709人评价
阳光姐妹淘,88,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,264601人评价
上帝之城,89,8.9,被上帝抛弃了的上帝之城。,156434人评价
致命ID,90,8.6,最不可能的那个人永远是最可能的。,313477人评价
一一,91,8.9,我们都曾经是一一。,153446人评价
告白,92,8.7,没有一人完全善，也没有一人完全恶。,336968人评价
狩猎,93,9.0,人言可畏。,124201人评价
布达佩斯大饭店,94,8.7,小清新的故事里注入了大历史的情怀。,302073人评价
加勒比海盗,95,8.6,约翰尼·德普的独角戏。,337552人评价
末代皇帝,96,8.9,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,160354人评价
断背山,97,8.6,每个人心中都有一座断背山。,313168人评价
爱在黎明破晓前,98,8.7,缘分是个连绵词，最美不过一瞬。,215978人评价
摩登时代,99,9.2,大时代中的人生，小人物的悲喜。,86091人评价
阿凡达,100,8.6,绝对意义上的美轮美奂。,520481人评价
猫鼠游戏,101,8.7,骗子大师和执著警探的你追我跑故事。 ,217460人评价
哈利·波特与魔法石,102,8.7,童话世界的开端。,246742人评价
风之谷,103,8.8,动画片的圣经。,173052人评价
爱在日落黄昏时,104,8.7,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,194922人评价
侧耳倾听,105,8.8,少女情怀总是诗。,164563人评价
穿条纹睡衣的男孩,106,8.9,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,138755人评价
萤火虫之墓,107,8.7,幸福是生生不息，却难以触及的远。 ,200247人评价
超脱,108,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。,168723人评价
消失的爱人,109,8.7,年度最佳date movie。,344499人评价
驯龙高手,110,8.7,和谐的生活离不开摸头与被摸头。,278674人评价
幸福终点站,111,8.6,有时候幸福需要等一等。 ,221094人评价
菊次郎的夏天,112,8.7,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,176879人评价
海洋,113,9.0,大海啊，不全是水。,97864人评价
倩女幽魂,114,8.6,两张绝世的脸。 ,242565人评价
恐怖直播,115,8.7,恐怖分子的“秋菊打官司”。,211490人评价
七武士,116,9.2,时代悲歌。,75489人评价
岁月神偷,117,8.6,岁月流逝，来日可追。,301636人评价
神偷奶爸,118,8.5,Mr. I Don't Care其实也有Care的时候。,365263人评价
谍影重重3,119,8.7,像吃了苏打饼一样干脆的电影。,176795人评价
电锯惊魂,120,8.7,真相就在眼前。,194713人评价
借东西的小人阿莉埃蒂,121,8.7,曾经的那段美好会沉淀为一辈子的记忆。,211429人评价
红辣椒,122,8.9,梦的勾结。,127887人评价
燃情岁月,123,8.8,传奇，不是每个人都可以拥有。,146677人评价
真爱至上,124,8.5,爱，是个动词。,301956人评价
杀人回忆,125,8.6,关于连环杀人悬案的集体回忆。,204060人评价
雨人,126,8.6,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,205915人评价
贫民窟的百万富翁,127,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,388962人评价
记忆碎片,128,8.5,一个针管引发的血案。,272852人评价
东邪西毒,129,8.6,电影诗。,243625人评价
虎口脱险,130,8.9,永远看不腻的喜剧。,104882人评价
怪兽电力公司,131,8.6,不要给它起名字，起了名字就有感情了。,232463人评价
疯狂原始人,132,8.7,老少皆宜，这就是好莱坞动画的魅力。,361729人评价
喜宴,133,8.8,中国家庭的喜怒哀乐忍。,134685人评价
卢旺达饭店,134,8.8,当这个世界闭上双眼，他却敞开了怀抱。,115977人评价
小森林 夏秋篇,135,8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。,122692人评价
黑天鹅,136,8.5,黑暗之美。,407149人评价
喜剧之王,137,8.5,我是一个演员。,300413人评价
英雄本色,138,8.7,英雄泪短，兄弟情长。 ,145329人评价
魂断蓝桥,139,8.8,中国式内在的美国电影。,126585人评价
穿越时空的少女,140,8.6,爱上未来的你。 ,181019人评价
猜火车,141,8.5,不可猜的青春迷笛。 ,243664人评价
恋恋笔记本,142,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,273279人评价
雨中曲,143,8.9,骨灰级歌舞片。,90930人评价
傲慢与偏见,144,8.4,爱是摈弃傲慢与偏见之后的曙光。,292397人评价
教父3,145,8.7,任何信念的力量，都无法改变命运。,125574人评价
完美的世界,146,9.0,坏人的好总是比好人的好来得更感人。,76805人评价
纵横四海,147,8.7,香港浪漫主义警匪动作片的巅峰之作。,138760人评价
萤火之森,148,8.7,触不到的恋人。,150680人评价
玩具总动员3,149,8.7,跨度十五年的欢乐与泪水。,187101人评价
二十二,150,8.8,,80567人评价
7号房的礼物,151,8.7,《我是山姆》的《美丽人生》。,166795人评价
哈利·波特与死亡圣器(下),152,8.6,10年的完美句点。,264765人评价
花样年华,153,8.5,偷情本没有这样美。,238257人评价
人工智能,154,8.6,对爱的执着，可以超越一切。,184483人评价
我是山姆,155,8.8,爱并不需要智商 。,99212人评价
看不见的客人,156,8.7,,216716人评价
浪潮,157,8.7,世界离独裁只有五天。,127719人评价
香水,158,8.4,一个单凭体香达到高潮的男人。,267831人评价
冰川时代,159,8.4,松鼠才是角儿。,261786人评价
海边的曼彻斯特,160,8.6,我们都有权利不与自己的过去和解。,155677人评价
荒蛮故事,161,8.7,始于荒诞，止于更荒诞。,127235人评价
追随,162,8.9,诺兰的牛逼来源于内心散发出的恐惧。,79031人评价
朗读者,163,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,271714人评价
撞车,164,8.6,天使与魔鬼的冲撞。,169801人评价
一次别离,165,8.7,只有有信仰的人才能说出事实真相。,128036人评价
罗生门,166,8.7,人生的N种可能性。,119703人评价
时空恋旅人,167,8.6,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,188895人评价
心迷宫,168,8.6,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,151833人评价
小森林 冬春篇,169,8.9,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,105364人评价
唐伯虎点秋香,170,8.4,华太师是黄霑，吴镇宇四大才子之一。,308073人评价
超能陆战队,171,8.6,Balalala~~~,352953人评价
蝙蝠侠：黑暗骑士崛起,172,8.5,诺兰就是保证。,284605人评价
战争之王,173,8.5,做一颗让别人需要你的棋子。,169436人评价
梦之安魂曲,174,8.7,一场没有春天的噩梦。,108293人评价
可可西里,175,8.6,坚硬的信仰。,124573人评价
碧海蓝天,176,8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,105816人评价
地球上的星星,177,8.8,天使保护事件始末。,80733人评价
秒速5厘米,178,8.3,青春就是放弃和怀念。,283411人评价
未麻的部屋,179,8.8,好的剧本是，就算你猜到了结局也猜不到全部。,90544人评价
恐怖游轮,180,8.3,不要企图在重复中寻找已经失去的爱。,306780人评价
爆裂鼓手,181,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,226793人评价
谍影重重2,182,8.5,谁说王家卫镜头很晃？,153537人评价
谍影重重,183,8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,185210人评价
阿飞正传,184,8.5,王家卫是一种风格，张国荣是一个代表。,173193人评价
海盗电台,185,8.6,生命不止，摇滚不死。,161400人评价
达拉斯买家俱乐部,186,8.6,Jared Leto的腿比女人还美！,161221人评价
牯岭街少年杀人事件,187,8.7,弱者送给弱者的一刀。,101728人评价
惊魂记,188,8.8,故事的反转与反转，分裂电影的始祖。,78973人评价
魔女宅急便,189,8.4,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,185967人评价
再次出发之纽约遇见你,190,8.5,爱我就给我看你的播放列表。,159330人评价
被解救的姜戈,191,8.5,热血沸腾，那个低俗、性感的无耻混蛋又来了。,250186人评价
绿里奇迹,192,8.7,天使暂时离开。,102322人评价
东京物语,193,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,48218人评价
勇闯夺命岛,194,8.5,类型片的极致。 ,137293人评价
迁徙的鸟,195,9.1,最美的飞翔。,50563人评价
末路狂花,196,8.7,没有了退路，只好飞向自由。,100128人评价
荒野生存,197,8.6,出门必备：本草纲目。,122586人评价
卡萨布兰卡,198,8.6,与同名歌曲无关。,120014人评价
青蛇,199,8.4,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,210493人评价
终结者2：审判日,200,8.5,少见的超越首部的续集，动作片中的经典。,135493人评价
哪吒闹海,201,8.8,想你时你在闹海。,76119人评价
忠犬八公物语,202,9.0,养狗三日，便会对你终其一生。,54125人评价
这个男人来自地球,203,8.5,科幻真正的魅力不是视觉效果能取代的。 ,170563人评价
燕尾蝶,204,8.6,现实与童话交相辉映的旅程。,105120人评价
变脸,205,8.4,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,206422人评价
源代码,206,8.3,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,393732人评价
英国病人,207,8.4,"In memory, love lives forever...",168835人评价
E.T. 外星人,208,8.5,生病的E.T.皮肤的颜色就像柿子饼。,146482人评价
新龙门客栈,209,8.4,嬉笑怒骂，调风动月。,174982人评价
黄金三镖客,210,9.1,最棒的西部片。,49096人评价
发条橙,211,8.4,我完全康复了。,179461人评价
黑客帝国3：矩阵革命,212,8.5,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,148293人评价
城市之光,213,9.2,永远的小人物，伟大的卓别林。,41220人评价
美国丽人,214,8.4,每个人的内心都是深不可测的大海。 ,177670人评价
叫我第一名,215,8.6,乐观比一切都有力量。,104773人评价
无耻混蛋,216,8.4,昆汀同学越来越变态了，比北野武还杜琪峰。,214807人评价
穆赫兰道,217,8.3,大卫·林奇的梦境迷宫。,225497人评价
非常嫌疑犯,218,8.6,我不信仰上帝，但我敬畏上帝。,111317人评价
初恋这件小事,219,8.3,黑小鸭速效美白记。,439191人评价
勇士,220,8.9,热血沸腾，相当完美的娱乐拳击大餐。,84423人评价
上帝也疯狂,221,8.6,纯净原始的笑与感动。,92436人评价
模仿游戏,222,8.5,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,241598人评价
蓝色大门,223,8.3,青春的窃窃私语。 ,265139人评价
爱·回家,224,9.0,献给所有外婆的电影。,45467人评价
无敌破坏王,225,8.6,迪士尼和皮克斯拿错剧本的产物。,177330人评价
爱在午夜降临前,226,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,109101人评价
大卫·戈尔的一生,227,8.7,捍卫人权只是信仰，一点不妨碍其行为的残忍。,85987人评价
血钻,228,8.5,每个美丽事物背后都是滴血的现实。,124185人评价
国王的演讲,229,8.3,皇上无话儿。,324066人评价
曾经,230,8.3,有些幸福无关爱情。,196400人评价
枪火,231,8.6,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,94652人评价
麦兜故事,232,8.5,麦兜是一只很哲学的猪。 ,122698人评价
疯狂的石头,233,8.2,中国版《两杆大烟枪》。,296304人评价
暖暖内含光,234,8.4,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,138734人评价
